,Hospital_ID,District_ID,Instrument_ID,Annual_Projected_Revenue,Sumperemp
0,Hospital 1,District 13,Instrument 2,17164,2860.6666666666665
1,Hospital 1,District 13,Instrument 3,655645,109274.16666666667
2,Hospital 1,District 13,Instrument 4,281452,46908.666666666664
3,Hospital 1,District 2,Instrument 2,12199,12199.0
4,Hospital 1,District 20,Instrument 2,178128,1590.4285714285713
5,Hospital 1,District 20,Instrument 3,305796,2730.3214285714284
6,Hospital 1,District 20,Instrument 7,5215,46.5625
7,Hospital 1,District 20,Instrument 8,280140,2501.25
8,Hospital 1,District 41,Instrument 2,4320,52.04819277108434
9,Hospital 1,District 41,Instrument 3,792,9.542168674698795
10,Hospital 1,District 50,Instrument 2,61301,61301.0
11,Hospital 1,District 50,Instrument 3,137862,137862.0
12,Hospital 1000,District 50,Instrument 2,9715,9715.0
13,Hospital 1000,District 50,Instrument 3,2496,2496.0
14,Hospital 1001,District 13,Instrument 2,996,0.7732919254658385
15,Hospital 1001,District 13,Instrument 5,8496,6.596273291925466
16,Hospital 1001,District 20,Instrument 3,1103,183.83333333333334
17,Hospital 1001,District 41,Instrument 2,3456,82.28571428571429
18,Hospital 1001,District 41,Instrument 3,210,5.0
19,Hospital 1003,District 10,Instrument 2,42654,24.885647607934654
20,Hospital 1003,District 18,Instrument 2,9965,2.2258208621844986
21,Hospital 1003,District 18,Instrument 3,3151,0.7038195220013402
22,Hospital 1003,District 20,Instrument 2,1295,10.196850393700787
23,Hospital 1003,District 20,Instrument 3,240,1.889763779527559
24,Hospital 1003,District 28,Instrument 2,146016,88.28053204353084
25,Hospital 1003,District 28,Instrument 3,33726,20.39056831922612
26,Hospital 1003,District 28,Instrument 4,93912,56.778718258766624
27,Hospital 1003,District 34,Instrument 2,2532,70.33333333333333
28,Hospital 1003,District 34,Instrument 3,1782,49.5
29,Hospital 1003,District 34,Instrument 4,300,8.333333333333334
30,Hospital 1003,District 34,Instrument 7,840,23.333333333333332
31,Hospital 1003,District 39,Instrument 2,426,15.214285714285714
32,Hospital 1003,District 50,Instrument 2,62821,62821.0
33,Hospital 1003,District 50,Instrument 3,112170,112170.0
34,Hospital 1003,District 50,Instrument 5,183814,183814.0
35,Hospital 1004,District 17,Instrument 2,218872,122.34320849636669
36,Hospital 1004,District 20,Instrument 3,552,1.9166666666666667
37,Hospital 1004,District 34,Instrument 2,1848,1848.0
38,Hospital 1004,District 34,Instrument 3,1806,1806.0
39,Hospital 1006,District 10,Instrument 7,30337,6.762594739188587
40,Hospital 1006,District 12,Instrument 2,229343,131.95799769850402
41,Hospital 1006,District 13,Instrument 2,609207,495.693246541904
42,Hospital 1006,District 13,Instrument 3,97092,79.00081366965013
43,Hospital 1006,District 15,Instrument 2,56064,190.04745762711863
44,Hospital 1006,District 15,Instrument 5,4500,15.254237288135593
45,Hospital 1006,District 19,Instrument 2,66360,45.142857142857146
46,Hospital 1006,District 20,Instrument 2,102430,246.22596153846155
47,Hospital 1006,District 28,Instrument 2,24824,620.6
48,Hospital 1006,District 28,Instrument 3,9030,225.75
49,Hospital 1006,District 3,Instrument 2,110746,455.7448559670782
50,Hospital 1006,District 32,Instrument 2,71393,71393.0
51,Hospital 1006,District 32,Instrument 3,102,102.0
52,Hospital 1006,District 34,Instrument 2,4800,53.93258426966292
53,Hospital 1006,District 34,Instrument 3,8772,98.56179775280899
54,Hospital 1006,District 41,Instrument 2,3540,126.42857142857143
55,Hospital 1006,District 41,Instrument 3,2834,101.21428571428571
56,Hospital 1006,District 50,Instrument 2,254549,254549.0
57,Hospital 1007,District 20,Instrument 2,2009,7.726923076923077
58,Hospital 1007,District 20,Instrument 3,2878,11.069230769230769
59,Hospital 1007,District 20,Instrument 7,234,0.9
60,Hospital 1007,District 34,Instrument 2,300,23.076923076923077
61,Hospital 1007,District 34,Instrument 3,180,13.846153846153847
62,Hospital 1007,District 39,Instrument 2,16039,16039.0
63,Hospital 1007,District 8,Instrument 2,139560,581.5
64,Hospital 1008,District 13,Instrument 2,7344,432.0
65,Hospital 1008,District 13,Instrument 3,7452,438.3529411764706
66,Hospital 1008,District 20,Instrument 2,23491,239.70408163265307
67,Hospital 1008,District 20,Instrument 3,36995,377.5
68,Hospital 1008,District 28,Instrument 2,304776,1061.9372822299651
69,Hospital 1008,District 28,Instrument 3,4608,16.05574912891986
70,Hospital 1008,District 34,Instrument 2,80658,80658.0
71,Hospital 1008,District 34,Instrument 3,7716,7716.0
72,Hospital 1009,District 28,Instrument 5,34955,349.55
73,Hospital 101,District 13,Instrument 2,554992,1479.9786666666666
74,Hospital 101,District 13,Instrument 3,75180,200.48
75,Hospital 101,District 13,Instrument 4,52500,140.0
76,Hospital 101,District 13,Instrument 5,285078,760.208
77,Hospital 101,District 20,Instrument 2,18630,1693.6363636363637
78,Hospital 101,District 20,Instrument 3,12450,1131.8181818181818
79,Hospital 101,District 34,Instrument 2,14280,14280.0
80,Hospital 101,District 34,Instrument 3,10200,10200.0
81,Hospital 101,District 34,Instrument 5,4200,4200.0
82,Hospital 101,District 34,Instrument 7,8700,8700.0
83,Hospital 1010,District 17,Instrument 2,16577,66.57429718875503
84,Hospital 1010,District 18,Instrument 2,53145,699.2763157894736
85,Hospital 1010,District 20,Instrument 2,3616,78.6086956521739
86,Hospital 1010,District 20,Instrument 3,1404,30.52173913043478
87,Hospital 1010,District 44,Instrument 3,168,0.021325209444021324
88,Hospital 1011,District 32,Instrument 2,6600,1.4588859416445623
89,Hospital 1011,District 32,Instrument 3,175,0.03868258178603006
90,Hospital 1011,District 41,Instrument 2,4998,277.6666666666667
91,Hospital 1011,District 41,Instrument 3,1296,72.0
92,Hospital 1013,District 13,Instrument 2,270,6.75
93,Hospital 1013,District 13,Instrument 3,12047,301.175
94,Hospital 1013,District 13,Instrument 4,520,13.0
95,Hospital 1014,District 12,Instrument 2,119652,261.8205689277899
96,Hospital 1014,District 12,Instrument 3,119652,261.8205689277899
97,Hospital 1014,District 13,Instrument 2,134715,134715.0
98,Hospital 1014,District 13,Instrument 3,119865,119865.0
99,Hospital 1014,District 13,Instrument 4,23094,23094.0
